genre,classified_genre
neo mellow,Pop music
detroit hip hop,Hip hop music
dance pop,Pop music
pop,Pop music
canadian pop,Pop music
hip pop,Hip hop music
barbadian pop,Pop music
atl hip hop,Hip hop music
australian pop,Pop music
indie pop,Pop music
art pop,Pop music
colombian pop,Pop music
big room,Dance music
british soul,Soul music
chicago rap,Hip hop music
acoustic pop,Pop music
permanent wave,Dance pop
boy band,Pop music
baroque pop,Pop music
celtic rock,Pop music
electro,Dance music
canadian hip hop,Hip hop music
complextro,Dance music
candy pop,Pop music
alaska indie,
metropopolis,Pop music
house,Dance music
australian hip hop,Hip hop music
canadian contemporary r&b,R&B
irish singer songwriter,Pop music
belgium edm,Dance music
australian dance,Dance music
french indie pop,Pop music
electro pop,Dance music
danish pop,Pop music
tropical house,Dance music
folk-pop, Pop music
latin, Latin
electronic trap,Pop music
edm,Dance music
electro house,Dance music
downtempo,Dance music
bro step,Pop music
contemporary country,Country music
moroccan pop,Pop music
escape room,Pop music
alternative r&b,R&B
