year,pos,genre,count
1950,2,jazz,0.3333333333333333
1950,2,pop,0.3333333333333333
1950,2,swing,0.3333333333333333
1950,18,country,0.5
1950,18,pop,0.5
1950,21,country,0.5
1950,21,pop,0.5
1950,25,country,0.2
1950,25,jazz,0.2
1950,25,pop,0.2
1950,25,rock,0.2
1950,25,swing,0.2
1950,29,jazz,0.5
1950,29,pop,0.5
1951,1,jazz,0.3333333333333333
1951,1,pop,0.3333333333333333
1951,1,swing,0.3333333333333333
1951,2,jazz,0.5
1951,2,pop,0.5
1951,4,jazz,0.5
1951,4,pop,0.5
1951,7,jazz,0.5
1951,7,pop,0.5
1951,8,country,0.2
1951,8,jazz,0.2
1951,8,pop,0.2
1951,8,rock,0.2
1951,8,swing,0.2
1951,10,country,0.5
1951,10,pop,0.5
1951,14,country,0.5
1951,14,pop,0.5
1951,27,country,0.2
1951,27,jazz,0.2
1951,27,pop,0.2
1951,27,rock,0.2
1951,27,swing,0.2
1952,6,jazz,0.5
1952,6,pop,0.5
1952,8,country,0.5
1952,8,pop,0.5
1952,16,jazz,0.5
1952,16,pop,0.5
1952,17,pop,1.0
1953,8,country,0.2
1953,8,jazz,0.2
1953,8,pop,0.2
1953,8,rock,0.2
1953,8,swing,0.2
1953,9,country,0.2
1953,9,jazz,0.2
1953,9,pop,0.2
1953,9,rock,0.2
1953,9,swing,0.2
1953,13,jazz,0.3333333333333333
1953,13,pop,0.3333333333333333
1953,13,swing,0.3333333333333333
1953,19,jazz,0.5
1953,19,pop,0.5
1953,21,country,0.2
1953,21,jazz,0.2
1953,21,pop,0.2
1953,21,rock,0.2
1953,21,swing,0.2
1953,29,jazz,1.0
1954,2,country,0.2
1954,2,jazz,0.2
1954,2,pop,0.2
1954,2,rock,0.2
1954,2,swing,0.2
1954,3,jazz,0.5
1954,3,pop,0.5
1954,9,pop,1.0
1954,11,jazz,0.3333333333333333
1954,11,pop,0.3333333333333333
1954,11,swing,0.3333333333333333
1954,12,jazz,0.5
1954,12,pop,0.5
1954,14,country,0.5
1954,14,pop,0.5
1954,16,pop,1.0
1954,18,jazz,0.3333333333333333
1954,18,pop,0.3333333333333333
1954,18,swing,0.3333333333333333
1954,19,jazz,0.5
1954,19,pop,0.5
1954,20,pop,1.0
1954,24,country,0.5
1954,24,pop,0.5
1954,25,country,0.2
1954,25,jazz,0.2
1954,25,pop,0.2
1954,25,rock,0.2
1954,25,swing,0.2
1954,26,country,0.5
1954,26,rock,0.5
1954,27,jazz,0.5
1954,27,pop,0.5
1955,9,country,0.5
1955,9,pop,0.5
1955,14,jazz,0.3333333333333333
1955,14,pop,0.3333333333333333
1955,14,swing,0.3333333333333333
1955,20,jazz,0.3333333333333333
1955,20,pop,0.3333333333333333
1955,20,swing,0.3333333333333333
1956,1,blues,0.25
1956,1,country,0.25
1956,1,pop,0.25
