year, genre 
1997,Folk music
1997,Pop music
1997,Dance music
1998,Turbo-folk
1998,Music of Serbia
1964,Blues
1964,Jazz
1964,Romani music
1993,Folk music
1993,Pop-folk
1949,Romani music
2010,Pop music
2010,Dance-pop
2010,Hip hop soul
2010,Contemporary R&B
2010,Electronic dance music
1996,Hip hop music
2010,Electropop
2005,Pop music
2005,Electropop
2005,Dance-pop
2005,Hip hop music
1991,Hip hop music
2002,Mandopop
1982,Reggae
1982,Rhythm and blues
1982,Tejano music
1982,Cumbia
1982,Latin pop
2009,Hip hop music
1989,Latin hip hop
1996,Bongo Flava
1996,Hip hop music
1990,Folk music
1997,Blues
1997,Funk
1997,Soul music
1997,Gospel music
1997,Jam band
1997,Sacred Steel (musical tradition)
1970,Country music
1986,Pop rock
1986,Contemporary R&B
1950,Folk music
1947,Carnatic music
1947,Hindustani classical music
1947,Playback singer
1950,Film score
1974,Playback singer
1926,Country music
1926,Folk music
1926,Gospel music
1965,Dangdut
1978,Pop music
1969,Gospel music
1969,Jazz
2008,Funk
2008,Pop music
2008,Soul music
2008,Contemporary R&B
2008,Electronic music
0025,Persian traditional music
1980,Heavy metal music
1980,Hard rock
1980,Alternative rock
1980,Glam metal
1995,Pop music
2006,Pop music
2000,Pop-rap
2000,Hip hop music
1934,Tarana
1934,Hindustani classical music
1934,Khyal
2013,Crossover music
1935,Playback singer
2003,Progressive rock
2003,Indie rock
2003,Alternative rock
2003,Folk rock
2007,Pop music
2007,Classical music
2003,Pop music
2009,Hardcore hip hop
2009,Political hip hop
2009,Hip hop music
1998,Afrikaans
1998,Pop music
1998,English language
1954,Blues
1954,Pop music
1954,Rock music
1963,Blues
1963,Rock and roll
1963,Rhythm and blues
1963,Country rock
1963,Jazz
2004,Folk music
2004,Soul music
1946,Rhythm and blues
1946,Boogie-woogie
1946,Jump blues
2002,West Coast hip hop
2002,Hyphy
2002,Hip hop music
1983,Arabic pop music
1983,Folk dance
1983,Dance music
1999,Arabic pop music
1999,Music of Egypt
1999,Franco_Arabic
2000,Bhangra (music)
2000,Punjabi language
2000,Romance (love)
2004,Indian pop
2004,Playback singer
1998,Country music
1998,Folk music
1998,Americana (music)
1998,Independent music
2008,Pop rock
2008,Jazz
2008,Acoustic music
2008,Independent music
2003,Country music
2005,Pop music
2005,Christmas music
2005,Acoustic music
1976,Contemporary Christian music
1976,Soft rock
1976,Pop rock
1997,Blues
1997,Country music
1997,Folk music
1997,Folk rock
1997,Americana (music)
1998,Americana (music)
2005,Pop music
2005,Pop rock
1990,Americana (music)
2000,Country music
2000,Folk music
2000,Pop music
2007,Pop music
2007,Rock music
1971,Pop-folk
1971,Acoustic music
2014,Country music
2006,Pop music
1985,Folk rock
1996,Country music
1996,Pop music
2006,Folk music
2006,Americana (music)
2002,Pop music
2002,Alternative rock
2002,Pop punk
2002,Pop rock
2011,Blues
2011,Pop music
2011,Indie folk
1992,Folk music
1992,Rock music
1985,Blues
1985,Jazz
1985,Experimental music
1985,Cumbia
1985,Tropical music
1991,Pop music
2012,Contemporary R&B
2012,K-pop
2010,Pop music
2010,Soul music
2010,Contemporary R&B
2007,Electropop
2008,Pop music
2008,Pop rock
1994,Mariachi
1994,Cumbia
1994,Latin pop
1994,Banda (music)
1994,Grupera
1998,Folk music
1998,Pop music
1998,Rock music
1998,Samba
1998,Salsa music
1998,Bossa nova
1998,Jazz
1998,Música popular brasileira
2000,Pop music
2000,Soul music
2000,Latin music (genre)
2000,Dance music
1993,World music
1993,Jazz
1997,Folk music
2007,Pop music
2007,Rock music
1977,Ranchera
1977,Latin pop
1977,Mexican pop music
1977,Rock en español
2002,Alternative rock
2002,Modern rock
2004,Pop music
2004,Contemporary Christian music
2004,Christian adult contemporary
2000,Pop music
2000,Glam rock
2000,Alternative rock
2000,Pop music
2007,Contemporary Christian music
2007,Contemporary worship music
2007,Pop rock
1997,Contemporary Christian music
1997,Contemporary worship music
1995,Blues
1995,Funk
1995,Rhythm and blues
1995,Soul music
1995,Blues rock
1995,Jazz
2010,Pop music
2010,Pop-folk
1994,Pop music
1994,Rhythm and blues
1994,Pop rock
1997,Pop music
1997,Trip hop
1997,Contemporary R&B
1997,Hip hop music
1997,Urban contemporary
1981,New wave music
1981,Pop music
1981,Synthpop
1981,Post-punk
